2024-11-04 11:13:48.333  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Starting...
2024-11-04 11:13:48.339  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.pool.HikariPool : HikariPool-2 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1e555550
2024-11-04 11:13:48.339  INFO 11900 --- [  restartedMain] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Start completed.
2024-11-04 11:13:48.340  WARN 11900 --- [  restartedMain] org.hibernate.dialect.Dialect : HHH000511: The 5.5.5 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2024-11-04 11:13:48.356  INFO 11900 --- [  restartedMain] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-11-04 11:13:48.357  INFO 11900 --- [  restartedMain] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-04 11:13:48.390  WARN 11900 --- [  restartedMain] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-11-04 11:13:48.528  INFO 11900 --- [  restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-11-04 11:13:48.598  INFO 11900 --- [  restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8082 (http) with context path '/'
2024-11-04 11:13:48.604  INFO 11900 --- [  restartedMain] org.springframework.boot.devtools.autoconfigure.ConditionEvaluationDeltaLoggingListener : Condition evaluation unchanged
2024-11-04 11:13:52.430  INFO 11900 --- [   File Watcher] org.springframework.boot.devtools.autoconfigure.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener : Restarting due to 25 class path changes (25 additions, 0 deletions, 0 modifications)
2024-11-04 11:13:52.438  INFO 11900 --- [       Thread-7] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-11-04 11:13:52.438  INFO 11900 --- [       Thread-7] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Shutdown initiated...
2024-11-04 11:13:52.441  INFO 11900 --- [       Thread-7] com.zaxxer.hikari.HikariDataSource : HikariPool-2 - Shutdown completed.
2024-11-04 11:13:52.819  INFO 11900 --- [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-04 11:13:52.839  INFO 11900 --- [  restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 20 ms. Found 4 JPA repository interfaces.
2024-11-04 11:13:52.945  INFO 11900 --- [  restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8082 (http)
2024-11-04 11:13:52.947  INFO 11900 --- [  restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-11-04 11:13:52.947  INFO 11900 --- [  restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.30]
2024-11-04 11:13:52.966  INFO 11900 --- [  restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-11-04 11:13:52.966  INFO 11900 --- [  restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 386 ms
2024-11-04 11:13:53.002  INFO 11900 --- [  restartedMain] org.hibernate.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
